id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,prompt,llama_response
fabd82e2-8b86-429a-8adb-ac46dde1aba6,With which of the following receptors theophylline has an antagonistic interaction ?,Histamine receptors,Bradykinin receptors,Adenosine receptors,Imidazoline receptors,2,single,,Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            With which of the following receptors theophylline has an antagonistic interaction ?

            Options:
            A) Histamine receptors
            B) Bradykinin receptors
            C) Adenosine receptors
            D) Imidazoline receptors","{
""Correct answer"": ""C"",
""Reasoning"": ""Theophylline, a xanthine derivative, is a non-selective adenosine receptor antagonist. It exerts its pharmacological effects by blocking the action of adenosine, an endogenous neurotransmitter, on its receptors. There are four subtypes of adenosine receptors (A1, A2A, A2B, and A3), and theophylline antagonizes the action of adenosine on these receptors. This antagonism leads to an increase in the activity of neurotransmitters like dopamine, norepinephrine, and acetylcholine, which contributes to its therapeutic effects in the treatment of respiratory diseases such as asthma and chronic obstructive pulmonary disease (COPD). 

Theophylline does not have a significant antagonistic interaction with histamine receptors (option A), which are involved in allergic responses and are targeted by antihistaminic drugs. Bradykinin receptors (option B) are involved in pain and inflammation, and theophylline does not interact with these receptors. Imidazoline receptors (option D) are involved in the regulation of blood pressure and are targeted by imidazoline receptor agonists, which are used as antihypertensive agents. Theophylline has no significant interaction with imidazoline receptors. 

Therefore, the correct answer is option C, adenosine receptors, as theophylline is a non-selective adenosine receptor antagonist.""
}"
e6c29c8b-af47-4dd6-8154-663358bed3b8,Gp2b3A inhibitors are all except -,Abciximab,Eptifibatide,Tirofiban,Prasugrel,3,multi,"Ans. is 'd' i.e., Prasugrel Glycoproteins lIb / IIIa inhibitorso The platelet glycoprotein mediates platelet aggregation via binding of adhesive proteins such as fibrinogen and Von Willebrand factor.o GP lib / Ilia inhibitors, inhibit platelet aggregation by blocking GPIIb / IlIa.o They are more complete inhibitors than either aspirin or clopidogrel / ticlopidinejj because they inhibit final pathway in platelet aggregation (whether it is mediated by ADP or TXA2), while aspirin blocks only TXA2 pathway and clopidogrel blocks only ADP pathway,o Drugs are -o In addition to inhibiting Gp lib / Ilia receptor, abciximab also inhibits ay(33 receptor (which binds vitronectin) and amb2 (a leukocyte integerin). This action is responsible for anti-inflammatory and antiproliferative properties of abciximab.",Pharmacology,Antiplatelets and Fibrinolytics,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Gp2b3A inhibitors are all except -

            Options:
            A) Abciximab
            B) Eptifibatide
            C) Tirofiban
            D) Prasugrel","{
    ""Correct answer"": ""D"",
    ""Reasoning"": ""The correct answer is option D) Prasugrel. Prasugrel is a P2Y12 inhibitor, not a Gp2b3A inhibitor. Gp2b3A inhibitors, also known as glycoprotein IIb/IIIa inhibitors, are a class of antiplatelet agents that inhibit platelet aggregation by blocking the binding of fibrinogen to the Gp2b3A receptor on the surface of platelets. Abciximab (option A) is a monoclonal antibody that selectively binds to the Gp2b3A receptor, Eptifibatide (option B) is a cyclic heptapeptide that selectively binds to the Gp2b3A receptor, and Tirofiban (option C) is a non-peptide antagonist that selectively binds to the Gp2b3A receptor. All three are Gp2b3A inhibitors, whereas Prasugrel is a P2Y12 inhibitor, which is a different mechanism of action. Therefore, option D) Prasugrel is the correct answer.""
}"
cbc8a1b1-532c-490e-a17d-9168083fabae,Mark the true statement regarding use of Lithium in maniac-depressive psychosis?,Monotherapy for acute episodes,Monitoring of serum concentration is not useful for guiding dose adjustment,Can result in leucocytosis,Can result in hypehyroidism on long term use,2,multi,"Lithium Use : Prophylaxis of mania alone, with sedatives in acute mania. Monitoring of S. concentration is significant to know the toxicity of drug S/E of Lithium Lithium use for a long time causes benign and reversible T-wave flattening Seizures Polyuria and compensatory polydipsia Dermatitis, folliculitis, vasculitis Weight gain",Pharmacology,Psychiatric Illness,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Mark the true statement regarding use of Lithium in maniac-depressive psychosis?

            Options:
            A) Monotherapy for acute episodes
            B) Monitoring of serum concentration is not useful for guiding dose adjustment
            C) Can result in leucocytosis
            D) Can result in hypehyroidism on long term use","{
""Correct answer"": ""C"",
""Reasoning"": ""Option C, 'Can result in leucocytosis', is the true statement regarding the use of Lithium in manic-depressive psychosis. Lithium is known to cause leucocytosis, which is an increase in the number of white blood cells in the blood. This is a well-documented side effect of lithium therapy. Lithium increases the production of granulocytes, a type of white blood cell, by stimulating the release of granulocyte-colony stimulating factor (G-CSF). This leucocytosis is usually benign and reversible upon discontinuation of lithium therapy.

Option A is incorrect because while lithium can be used as monotherapy for acute episodes of mania, it is often used as maintenance therapy to prevent relapse of manic or depressive episodes.

Option B is incorrect because monitoring of serum concentration is crucial for guiding dose adjustment, as lithium has a narrow therapeutic index. The therapeutic range for lithium is 0.6-1.2 mEq/L, and levels above this range can lead to toxicity.

Option D is incorrect because lithium can actually cause hypothyroidism (a decrease in thyroid hormone production) on long-term use, not hyperthyroidism (an increase in thyroid hormone production). Lithium inhibits the release of thyroid hormone from the thyroid gland, leading to hypothyroidism in some patients.""
}"
0e24270a-7b1e-4f2c-b71c-0de8a0f931c8,The following drugs have significant drug interactions with digoxin except:,Cholestyramine,Thiazide diuretics,Quinidine,Amlodipine,3,multi,Ref:KDT 6/e p499 Cholestyramine inhibits itestinal absorption of digoxin. Thiazides result in hypokalemia and thus make precipitate digitalis toxicity by pharmacodynamic interaction. Quinidine and verampil reduces the exceion of digoxin and does make precipitate toxicity (pharmacokinetic interaction),Pharmacology,Cardiovascular system,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            The following drugs have significant drug interactions with digoxin except:

            Options:
            A) Cholestyramine
            B) Thiazide diuretics
            C) Quinidine
            D) Amlodipine","{
""Correct answer"": ""D"",
""Reasoning"": ""The correct answer is option D, Amlodipine. Digoxin is a cardiac glycoside used to treat atrial fibrillation and heart failure. It has a narrow therapeutic index, making it prone to interactions with other medications. Options A, B, and C are known to interact with digoxin, leading to increased toxicity or reduced efficacy. 

Cholestyramine (option A) can reduce the absorption of digoxin, leading to decreased efficacy. Thiazide diuretics (option B) can increase the serum concentration of digoxin by inducing hypokalemia, which potentiates the effects of digoxin. Quinidine (option C) can increase digoxin levels by inhibiting its clearance through P-glycoprotein, a transporter involved in digoxin elimination.

Amlodipine, a calcium channel blocker, is not known to have significant interactions with digoxin. It does not affect digoxin absorption, metabolism, or elimination, and it does not alter potassium levels, which could affect digoxin toxicity. Therefore, option D is the correct choice.""
}"
fec423fb-be98-40a8-a9f3-477f6e7555f4,Schizophrenia is treated by,Anti depressants,Anti psychotics,Anti epileptics,Mood stabilizers,1,single,"Ans. is 'b' i.e., Anti psychotics",Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Schizophrenia is treated by

            Options:
            A) Anti depressants
            B) Anti psychotics
            C) Anti epileptics
            D) Mood stabilizers","{
""Correct answer"": ""B"",
""Reasoning"": ""The correct answer is option B) Anti-psychotics. Schizophrenia is a chronic and severe mental disorder characterized by hallucinations, delusions, and distorted thought processes. The primary treatment for schizophrenia involves the use of antipsychotic medications, which aim to alleviate the symptoms of psychosis, including hallucinations, delusions, and disorganized thinking. Antipsychotics work by blocking the action of dopamine, a neurotransmitter involved in the development of psychotic symptoms. Typical antipsychotics, such as haloperidol and chlorpromazine, are effective in treating the positive symptoms of schizophrenia, while atypical antipsychotics, such as risperidone and olanzapine, are effective in treating both positive and negative symptoms. Antidepressants (option A) are used to treat depression, not schizophrenia. Anti-epileptics (option C) are used to treat seizure disorders, not schizophrenia. Mood stabilizers (option D) are used to treat bipolar disorder, not schizophrenia.""
}"
9587b40f-5950-423e-aaa2-7a05f813f832,The drug used in petit mal seizures and has a narrow spectrum of antiepileptic activity is,Lamotrigine,Ethosuximide,Phenytoin,Primidone,1,single,Ethosuximide and valproate are the drugs of choice for absence seizures and are more effective than lamotrigineReference: Katzung Pharmacology; 12th edition; Page no: 418,Pharmacology,Central Nervous system,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            The drug used in petit mal seizures and has a narrow spectrum of antiepileptic activity is

            Options:
            A) Lamotrigine
            B) Ethosuximide
            C) Phenytoin
            D) Primidone","{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""The correct answer is option B) Ethosuximide. Ethosuximide is an anticonvulsant medication that is primarily used to treat petit mal seizures, also known as absence seizures. It has a narrow spectrum of antiepileptic activity, meaning it is effective only against a specific type of seizure. Ethosuximide works by suppressing the abnormal electrical activity in the brain that causes seizures. It is particularly effective in treating petit mal seizures, which are characterized by brief periods of unconsciousness or staring spells.

Lamotrigine (option A) is a broad-spectrum antiepileptic drug that is used to treat a variety of seizure types, including partial seizures, generalized seizures, and Lennox-Gastaut syndrome. While it can be used to treat petit mal seizures, it is not as specific to this type of seizure as ethosuximide.

Phenytoin (option C) is an anticonvulsant that is primarily used to treat generalized tonic-clonic seizures and partial seizures. It is not typically used to treat petit mal seizures.

Primidone (option D) is an anticonvulsant that is used to treat a variety of seizure types, including generalized tonic-clonic seizures, partial seizures, and myoclonic seizures. While it can be used to treat petit mal seizures, it is not as specific to this type of seizure as ethosuximide.

Therefore, based on the specific mechanism of action and the narrow spectrum of antiepileptic activity, ethosuximide is the correct answer.""
}"
f5469d2e-345d-44db-89b9-e3f00f74341d,Schizophrenia is treated by:,Anti depressants,Anti psychotics,Anti epileptics,Mood stabilizers,1,single,,Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Schizophrenia is treated by:

            Options:
            A) Anti depressants
            B) Anti psychotics
            C) Anti epileptics
            D) Mood stabilizers","{
""Correct answer"": ""B"",
""Reasoning"": ""Schizophrenia is a chronic and severe mental disorder characterized by hallucinations, delusions, disorganized thinking, and negative symptoms. The mainstay of treatment for schizophrenia is antipsychotic medications. Antipsychotics work by blocking the action of dopamine, a neurotransmitter involved in the pathophysiology of schizophrenia. Typical antipsychotics, such as haloperidol and chlorpromazine, are dopamine receptor antagonists, while atypical antipsychotics, such as risperidone and olanzapine, are serotonin-dopamine antagonists. Antipsychotics are effective in reducing the positive symptoms of schizophrenia, such as hallucinations and delusions, and also have some benefit in reducing negative symptoms.

Antidepressants (Option A) are used to treat depression, not schizophrenia. While some selective serotonin reuptake inhibitors (SSRIs) may be used as adjunctive therapy in schizophrenia, they are not the primary treatment.

Antiepileptics (Option C) are used to treat seizure disorders, not schizophrenia.

Mood stabilizers (Option D) are used to treat bipolar disorder, not schizophrenia. While some mood stabilizers, such as lithium, may be used in conjunction with antipsychotics in the treatment of schizophrenia, they are not the primary treatment.""
}"
08531c7b-c9f3-49f2-a8f2-e64ac23974e7,Which of the following drugs can be administered by subcutaneous route?,Albuterol,Metaproterenol,Terbutaline,Pirbuterol,2,single,terbutaline can be given as s.c (0.25mg) in asthma.,Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Which of the following drugs can be administered by subcutaneous route?

            Options:
            A) Albuterol
            B) Metaproterenol
            C) Terbutaline
            D) Pirbuterol","{
""Correct answer"": ""C"",
""Reasoning"": ""Terbutaline is a beta2-agonist bronchodilator that can be administered by the subcutaneous route, in addition to oral and inhalation routes. This is because terbutaline has a longer duration of action compared to other beta2-agonists, making it suitable for subcutaneous administration. In fact, subcutaneous terbutaline is sometimes used to treat asthma exacerbations or to provide relief from bronchospasm in patients who are unable to use inhalers. The other options, albuterol, metaproterenol, and pirbuterol, are typically administered by inhalation or orally, but not subcutaneously.""
}"
6c5c0933-9307-485a-a14b-305f77c287ef,Which is an uricosuric drug-,Allopurinol,Probenecid,Indomethacin,Aspirin,1,multi,"Ans. is 'b' i.e., Probenecid Uricosuric drugs are probenacid, sulfinpyrazone and benzbromarone.",Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            Which is an uricosuric drug-

            Options:
            A) Allopurinol
            B) Probenecid
            C) Indomethacin
            D) Aspirin","{
""Correct answer"": ""B"",
""Reasoning"": ""The correct answer is option B) Probenecid. Uricosuric drugs are a class of medications that increase the excretion of uric acid in the urine, thereby reducing the concentration of uric acid in the blood. Probenecid is a uricosuric drug that inhibits the reabsorption of uric acid in the proximal convoluted tubules of the kidney, leading to increased excretion of uric acid. This makes it an effective treatment for gout, a condition characterized by high levels of uric acid in the blood.

On the other hand, Allopurinol (option A) is a xanthine oxidase inhibitor, which reduces the production of uric acid in the body. While it is also used to treat gout, it is not a uricosuric drug.

Indomethacin (option C) is a non-steroidal anti-inflammatory drug (NSAID) that reduces inflammation and pain in the body. While it may be used to treat gout, it is not a uricosuric drug.

Aspirin (option D) is also an NSAID, but it can actually increase the concentration of uric acid in the blood, making it a poor choice for treating gout.

Therefore, among the options, Probenecid (option B) is the uricosuric drug."""
5f8a32c1-31db-477e-99cd-467e1f443720,DNA dependent RNA synthesis is inhibited by:,Rifampicin,Ethambutol,Colchicine,Chloromycetin,0,single,Rifampicin,Pharmacology,,"You are an assistant specializing in Pharmacology. Please select the correct option from the given choices for the following multiple-choice question related to Pharmacology. 
            Each question will have four options (A, B, C, or D). After selecting the correct option, provide a detailed explanation that includes the reasoning behind your choice, supported by relevant pharmacological knowledge and information.

            Please format your response in JSON as shown below:
            {
                ""Correct answer"": ""A"",
                ""Reasoning"": ""[Provide reasoning that clearly explains why option A is the correct choice, including relevant pharmacological details and knowledge.]""
            }

            Question:
            DNA dependent RNA synthesis is inhibited by:

            Options:
            A) Rifampicin
            B) Ethambutol
            C) Colchicine
            D) Chloromycetin","{
""Correct answer"": ""A"",
""Reasoning"": ""Rifampicin is the correct answer because it is an antibiotic that specifically inhibits DNA-dependent RNA synthesis by binding to the β-subunit of bacterial RNA polymerase, thereby blocking the initiation step of transcription. This mechanism of action is unique to rifampicin and makes it an effective treatment for bacterial infections such as tuberculosis. Ethambutol, on the other hand, targets the bacterial cell wall by inhibiting arabinosyl transferase, an enzyme involved in the biosynthesis of mycolic acids. Colchicine is a cytotoxic agent that inhibits microtubule assembly, disrupting cell division, and is used to treat gout and familial Mediterranean fever. Chloramphenicol is a broad-spectrum antibiotic that inhibits protein synthesis by binding to the 50S ribosomal subunit, but it does not affect RNA synthesis. Therefore, rifampicin is the only correct option that inhibits DNA-dependent RNA synthesis.""
}"
