id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,dataset_split,med42-8b_response,med42-8b_answer,med42-8b_response_parsed,correct_answer,med42-8b_accuracy,med42-8b_bert_scores,med42-8b_bart_scores,med42-8b_alignscore,med42-8b_rougeL,med42-8b_meteor,correct_accuracy,med42-8b_weighted_normalized_score
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?",Neostigmine,Atropine,Flumazenil,Physostigmine,1,single,"Low esterase levels are suggestive of overdose of some drug which acts by inhibiting acetyl choline esterase like organophosphate poisoning. Inhibition of choline esterase results In increased amount of Ach at synapse, so poisoning or overdose results in cholinergic symptoms like salivation, lacrimation, urination, emesis, increased bronchial secretions, reduction in blood pressure.So treatment Of choice is Atropine. Atropine -It is highly effective in counter-acting the muscarinic symptoms, but higher doses are required to antagonize the central effects. It does not reverse peripheral muscular paralysis which is a nicotinic action. All cases of anti-ChE (carbamate or organophosphate) poisoning must be promptly given atropine2 mg i.v. repeated every 10 min till dryness of mouth or other signs of atropinization appear (upto 200 mg has been administered in a day). Continued treatment with maintenance doses may be required for 1-2 weeks. Neostigmine and physostigmine worsens the signs and symptoms as these also act by inhibiting choline esterase. Physostigmine and flumazenil are respectively used for Atropine and benzodiazepines poisoning.",Pharmacology,AIIMS 2019,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""The clinical presentation of increased salivation, increased bronchial secretions, and hypotension (88/60 mmHg) in this overdose case suggests cholinergic crisis due to an excess of acetylcholine. Atropine is the antidote that can counteract these effects by competitively antagonizing the action of acetylcholine at muscarinic receptors. RBC esterase level of 50 (normal range: 0-20) indicates an increased parasympathetic activity, supporting the diagnosis of cholinergic crisis. Neostigmine, physostigmine, and flumazenil are not indicated in this case as they are related to anticholinesterase action or benzodiazepine reversal, respectively, which do not address the presented clinical symptoms.""
}",B,"The clinical presentation of increased salivation, increased bronchial secretions, and hypotension (88/60 mmHg) in this overdose case suggests cholinergic crisis due to an excess of acetylcholine. Atropine is the antidote that can counteract these effects by competitively antagonizing the action of acetylcholine at muscarinic receptors. RBC esterase level of 50 (normal range: 0-20) indicates an increased parasympathetic activity, supporting the diagnosis of cholinergic crisis. Neostigmine, physostigmine, and flumazenil are not indicated in this case as they are related to anticholinesterase action or benzodiazepine reversal, respectively, which do not address the presented clinical symptoms.",B,1.0,0.6529919851264339,0.6285371633253174,0.4378381032170568,0.38114839367669545,0.34861394170907145,1,0.48982591741091497
a570d3c3-865a-41b6-8e21-dccbf7feec4c,"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?",Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,0,single,"Ans: A. Aemether plus lumefantrineRef: <a href="" Combination Therapy (ACT) should be given to all the confirmed P. falciparum cases.</li>The ACT recommended in the National Program all over India except noheastern states is aesunate (AS) daily for3 days and Sulfadoxine-pyrimethamine (SP) on Day 0.Noheastern states presently recommended ACT in national drug policy is fixed dose combination of Aemether-lumefaritrine.Hence, the clear-cut answer of this question is Aemether plus lumefantrine.",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Aemether plus lumefantrine is the most appropriate drug for a patient infected with P. falciparum malaria, particularly from non-artemisinin resistance areas (such as the northeastern states). This is because artemisinin-based combination therapies (ACTs) like Aemether plus lumefantrine provide superior efficacy and parasite clearance rates compared to monotherapies like chloroquine or mefloquine. Sulfadoxine plus pyrimethamine, an alternative ACT, is effective but not the best choice here due to emerging resistance in some areas.""
}",A,"Aemether plus lumefantrine is the most appropriate drug for a patient infected with P. falciparum malaria, particularly from non-artemisinin resistance areas (such as the northeastern states). This is because artemisinin-based combination therapies (ACTs) like Aemether plus lumefantrine provide superior efficacy and parasite clearance rates compared to monotherapies like chloroquine or mefloquine. Sulfadoxine plus pyrimethamine, an alternative ACT, is effective but not the best choice here due to emerging resistance in some areas.",A,1.0,0.6684193986880768,0.6213237416485878,0.019955646241727694,0.4182477779793216,0.40825928914801946,1,0.42724117074114665
e7f023ea-2147-47d3-9f2a-61fb60a900be,Which of these drugs is an antidote for fibrinolytic therapy?,Epsilon aminocaproic acid,Protamine,Heparin,Streptokinase,0,single,"Answer- A. Epsilon aminocaproic acidEpsilon aminocaproic acid is an antidote for fibrinolytic therapy. Epsilon-aminocaproic qcid is a synthetic inhibitor of theplasmin-plasminogen system. It is the only potent antifibrinolylic agent, which is commercially available.""Aminocaproic acid is a lysine analog that competes for lysine binding sites on plasminogen and plasmin, blocking theinteraction of plasmin with fibrin.Fibrinolytic overdose - Epsilon Amino Caproic Acid (EACA)",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Epsilon aminocaproic acid (EACA) is the correct choice as an antidote for fibrinolytic therapy. It is a synthetic lysine analog that inhibits plasminogen activation and plasmin activity, thereby reversing the effects of fibrinolytic agents such as streptokinase, urokinase, and tissue plasminogen activator (tPA). EACA is used to treat bleeding complications from fibrinolytic therapy in acute coronary syndromes or pulmonary embolism. Unlike protamine (an antidote for heparin), EACA does not possess anticoagulant properties.""
}",A,"Epsilon aminocaproic acid (EACA) is the correct choice as an antidote for fibrinolytic therapy. It is a synthetic lysine analog that inhibits plasminogen activation and plasmin activity, thereby reversing the effects of fibrinolytic agents such as streptokinase, urokinase, and tissue plasminogen activator (tPA). EACA is used to treat bleeding complications from fibrinolytic therapy in acute coronary syndromes or pulmonary embolism. Unlike protamine (an antidote for heparin), EACA does not possess anticoagulant properties.",A,1.0,0.704474899424219,0.7336263454216452,0.3121529651513969,0.7311605723370428,0.5962946914527486,1,0.6155418947574105
e881fcb0-a4f2-45ed-97cf-c53045f98e30,Absorption of which of the following drugs is increased after a fatty meal?,Amphotericin B,Griseofulvin,Ampicillin,Aspirin,1,single,"Ans: B. Griseofulvin (Ref: Goodman Gilman I2/e p1585; Katzung 13/e p632, 12/e p855,. KUT 7/e p790, 6/e p760)The oral administration of a 0.5 g dose of griseofulvin produces peak plasma concentrations of 1ug/mL in 4 hours.Improved drug absorption along with a fatty meal.Drug Absorption Reduced/Delayed by FoodDrug Absorption increased by foodAmpicillindegAspirindegAtenololdegAzithromycindegCaptoprildegCefaclorCephalexinCiprofloxacinDidanosineIndinavirdegIsoniazidaLoratidineNaficillinPenicillin G or VdegPhenobarbitaldegPhenytoindegRifampindegSucralfatedegTetracyclinedegDoxycyclinedegAtovaquonedegCarbamazepinedegChlohiazidedegCefuroximedegClofaziminedegDiazepamdegErythromycin GanciclovirdegHydrochlorothiazidedegItraconazoleaLithiumdegLovastatinMethylphenidateMetoprololdegNelfinavirNitrofurantoinPropranololdegPropoxypheneRitonavirdegSaquinavirdegSpironolactonedeg*Hydralazinedeg",Pharmacology,,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Griseofulvin absorption is increased after a fatty meal due to enhanced dissolution in the presence of lipids. Griseofulvin is a poorly water-soluble antifungal drug, and increasing the lipid content in the gastrointestinal tract facilitates its dissolution and subsequent absorption. The increased fat consumption makes the intestinal milieu more lipophilic, allowing for better solubilization and absorption of griseofulvin. In contrast, the other options do not exhibit such an increase in absorption post-fat meal.""
}",B,"Griseofulvin absorption is increased after a fatty meal due to enhanced dissolution in the presence of lipids. Griseofulvin is a poorly water-soluble antifungal drug, and increasing the lipid content in the gastrointestinal tract facilitates its dissolution and subsequent absorption. The increased fat consumption makes the intestinal milieu more lipophilic, allowing for better solubilization and absorption of griseofulvin. In contrast, the other options do not exhibit such an increase in absorption post-fat meal.",B,1.0,0.05100265577718789,0.49712209310776706,0.07140378715179285,0.26228867165037384,0.24506030662124612,1,0.22537550286167357
da27e783-4c0b-4621-bc3d-938a109d8425,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,Facial defects,Cardiac defects,Neural tube defects,Urogenital defects,1,single,Lithium causes Ebstein's anomaly (malformation in tricuspid valve of hea) if given in pregnancy. Other side effects of lithium includes: Leucocytosis I Tremors (most common adverse effect) Hypothyroidism Increase Urine (polyuria) Mothers (avoided in pregnancy).,Pharmacology,AIIMS 2018,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Lithium use during pregnancy is associated with an increased risk of cardiac defects in the baby, particularly Ebstein's anomaly. This is due to lithium's teratogenic effects, which can alter the development of the heart. The other options, facial defects, neural tube defects, and urogenital defects, are not specifically linked to lithium exposure in utero. Therefore, option B is the correct answer based on established Pharmacology knowledge.""",B,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Lithium use during pregnancy is associated with an increased risk of cardiac defects in the baby, particularly Ebstein's anomaly. This is due to lithium's teratogenic effects, which can alter the development of the heart. The other options, facial defects, neural tube defects, and urogenital defects, are not specifically linked to lithium exposure in utero. Therefore, option B is the correct answer based on established Pharmacology knowledge.""",B,1.0,0.4208918778534685,0.28449393983148563,0.00450209736098253,0.3153153153153153,0.28088881591055476,1,0.26121840925436135
2dd59aba-38c0-4aff-a000-1bcb640254ff,"Drug adveisement letter is a necessary component of each drug formulation and contains various information about the drug like drug dosing, frequency and half-life. Which of the following information need not be given in the drug adveisement letter?",Research papers and other aicles proving efficacy of the drug,Date of expiry of the drug,"Rare, but serious life threatening adverse-effects","Common, not so serious adverse-effects",1,single,"Ans: B. Date of expiry of the drug(Ref Goodman Gilman 12/e p1883; Manual of Experimental and Clinical Pharmacology/p 345).Date of drug expiry need not to be given in drug adveisement letter.Regulated according to The Federal Food, Drug, and Cosmetic Act.Amended (Food and Drug Administration Modernization Act of 1997).Permits use of print & television adveising for prescription drugs.Drug adveisements:Contain summary information relating to side effects, contraindications & effectiveness.Current adveising regulations:Specify that this information disclosure needs to include all risk information in a product's approved labeling or must direct consumers to healthcare professionals to obtain this information.Print adveisements:Include reprinting of risk-related sections of product's approved labeling (package inse).Television adveising:Not includes reprinting of risk-related.Note:Adveisements cannot be false or misleading or omit material facts.Must present fair balance between effectiveness & risk information.",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""A drug advertisement letter focuses on providing essential information about the drug for regulatory purposes and clinical use. Inclusion of research papers and other articles proving efficacy (option A) is not necessary as this information is already part of the drug's approval process and is already incorporated in the drug's labeling and summaries of product characteristics (SPCs). The other options (B, C, and D) provide crucial details about the drug, including shelf life, rare serious adverse effects, and common not-so-serious adverse effects, respectively, which are all important for both regulatory purposes and clinical use.""
}",A,"A drug advertisement letter focuses on providing essential information about the drug for regulatory purposes and clinical use. Inclusion of research papers and other articles proving efficacy (option A) is not necessary as this information is already part of the drug's approval process and is already incorporated in the drug's labeling and summaries of product characteristics (SPCs). The other options (B, C, and D) provide crucial details about the drug, including shelf life, rare serious adverse effects, and common not-so-serious adverse effects, respectively, which are all important for both regulatory purposes and clinical use.",B,0.0,0.42403321567530633,0.36607222087860986,0.2602913537019185,0.26993050193050205,0.3005867119191033,1,0.32418280082108797
58ffad4a-5613-4d26-88b2-a4bb2ce2b9e6,Which of the following drugs can be stopped abruptly without any withdrawal symptoms?,Esctilaopram,Fluoxetine,Fluvoxamine,Seraline,1,single,Answer- B. FluoxetineFluoxetine has the lowest incidence of discontinuation syndrome among several antidepressants including paroxetin and venlafaxine. The longer half life of fluoxetine will avoid any withdrawal symptoms because this medication effectively tapers itself from the patient's system over a few days.,Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Escitalopram, a selective serotonin reuptake inhibitor (SSRI), is known for its favorable pharmacokinetic profile, including a short elimination half-life and minimal plasma protein binding. As a result, escitalopram can be stopped abruptly without the risk of significant withdrawal symptoms. This is in contrast to other SSRIs, such as fluoxetine, which has a longer half-life and can cause withdrawal symptoms if discontinued suddenly.""
}",A,"Escitalopram, a selective serotonin reuptake inhibitor (SSRI), is known for its favorable pharmacokinetic profile, including a short elimination half-life and minimal plasma protein binding. As a result, escitalopram can be stopped abruptly without the risk of significant withdrawal symptoms. This is in contrast to other SSRIs, such as fluoxetine, which has a longer half-life and can cause withdrawal symptoms if discontinued suddenly.",B,0.0,0.6451669929700214,0.6636684345590262,0.062208958825925906,0.31889871179590806,0.3561203433813373,1,0.4092126883064438
3e4d2174-1e88-4652-9aed-78e71215ffe8,Vitamin D toxicity is treated with,Chloroquine,Hydroxycholoquine,Dexamethasone,Ketoconazole,2,single,"Ans. C. Dexamethasone* Dexamethasone is used in the treatment of hypercalcemia due to vitamin D toxicity. Glucocoicoid (Dexamethasone, prednisolone etc) therapy will decrease plasma calcium levels by blocking the action of vitamin D(1,25 D) which results in reduced intestinal calcium absorption and increased urinary excretion of calcium. * Other drugs like chloroquine and hydroxychloroquine are less effective in treating hypercalcemia due to vitamin D toxicity.",Pharmacology,,validation,"{
    ""Correct answer"": ""None"",
    ""Reasoning"": ""None of the given options (A, B, C, or D) are used for treating Vitamin D toxicity. Vitamin D toxicity, also known as hypervitaminosis D, is treated by discontinuing the excessive intake of Vitamin D and providing supportive care, such as hydration and electrolyte management. This treatment approach does not involve any of the medications listed. The medications mentioned are primarily used for unrelated purposes in Pharmacology, such as anti-malarial agents (chloroquine, hydroxychloroquine) and corticosteroid (dexamethasone) or antifungal (ketoconazole) agents. Hence, none of the listed options is correct.""
}",,"None of the given options (A, B, C, or D) are used for treating Vitamin D toxicity. Vitamin D toxicity, also known as hypervitaminosis D, is treated by discontinuing the excessive intake of Vitamin D and providing supportive care, such as hydration and electrolyte management. This treatment approach does not involve any of the medications listed. The medications mentioned are primarily used for unrelated purposes in Pharmacology, such as anti-malarial agents (chloroquine, hydroxychloroquine) and corticosteroid (dexamethasone) or antifungal (ketoconazole) agents. Hence, none of the listed options is correct.",C,0.0,0.6360662061161606,0.5543735227859041,0.017114261190872622,0.39942109851787283,0.645720273208466,1,0.4505390723638552
6bce210a-7174-4c76-b1f0-9bc3f5c835fc,CYP50 inhibition is least by:,Pantoprazole,Rabeprazole,Lansoprazole,Omeprazole,1,single,"Ans: B. Rabeprazole(Ref: Goodman Gilman 12/e p1990; Katzung131e p1060, 12/e p1089; KDT 7/e p653).Rabeprazole:Exclusively metabolized by CYP2C19 and does not cause any inhibition of CYP450.Highest efficacy.Lansoprazole - Most potent.Rabeprazole & pantoprazole have no significant drug interactions.The FDA has issued a warning about a potentially impoant adverse interaction between clopidogrel and proton pump inhibitors.Proton pump inhibitors should be prescribed to patients taking clopidogrel only if they have an increased risk of gastrointestinal bleeding or require them for chronic gastro-esophageal reflux or peptic ulcer disease, in which case agents with minimal CYP2C19 inhibition (pantoprazole or rabeprazole) are preferred",Pharmacology,,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Rabeprazole has the least effect on CYP50 inhibition compared to other proton pump inhibitors (PPIs) like pantoprazole, lansoprazole, and omeprazole. This is due to its unique sulphonamide group, which reduces its interaction with the CYP enzyme system, minimizing potential drug-drug interactions and adverse effects.""
}",B,"Rabeprazole has the least effect on CYP50 inhibition compared to other proton pump inhibitors (PPIs) like pantoprazole, lansoprazole, and omeprazole. This is due to its unique sulphonamide group, which reduces its interaction with the CYP enzyme system, minimizing potential drug-drug interactions and adverse effects.",B,1.0,0.5552463779990447,0.714266768132087,0.15618600385113743,0.2404080902094147,0.1863688637435796,1,0.3704952207870527
3b150083-1a5e-49ef-bc36-41a06b677b32,Major aim of phase 1 clinical trials is:,Safety,Efficacy,Dose,Pharmacokinetics,2,single,"Phase 1 clinical trial : It is first phase in humans. It is conducted mainly on healthy volunteers. In drugs with serious adverse effects and where alternative treatment is not available, phase 1 can be conducted on patients also. Major aim is to know the maximum tolerable dose (MTD). The aim of phase 1 trials should be marked as MTD > Dose > Pharmacokinetics > Safety",Pharmacology,AIIMS 2018,validation,"{
    ""Correct answer"": ""D"",
    ""Reasoning"": ""The primary objective of Phase 1 clinical trials is to assess pharmacokinetics, including the absorption, distribution, metabolism, and excretion (ADME) of the investigational drug. This phase focuses on evaluating drug safety and tolerability at various doses and gathering initial information about efficacy, but the main emphasis is on understanding how the drug is handled by the body and its elimination profile.""
}",D,"The primary objective of Phase 1 clinical trials is to assess pharmacokinetics, including the absorption, distribution, metabolism, and excretion (ADME) of the investigational drug. This phase focuses on evaluating drug safety and tolerability at various doses and gathering initial information about efficacy, but the main emphasis is on understanding how the drug is handled by the body and its elimination profile.",C,0.0,0.6889819554497718,0.5342106622030741,0.1277768253554767,0.4789716545814107,0.3711039420325074,1,0.44020900792444817
