id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,dataset_split,llama3.3-70b_response,llama3.3-70b_answer,llama3.3-70b_response_parsed,correct_answer,llama3.3-70b_accuracy,llama3.3-70b_bert_scores,llama3.3-70b_bart_scores,llama3.3-70b_alignscore,llama3.3-70b_rougeL,llama3.3-70b_meteor,correct_accuracy,llama3.3-70b_weighted_normalized_score
a3da135a-a6a2-4e1c-8823-8ab0913f5668,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?",Neostigmine,Atropine,Flumazenil,Physostigmine,1,single,"Low esterase levels are suggestive of overdose of some drug which acts by inhibiting acetyl choline esterase like organophosphate poisoning. Inhibition of choline esterase results In increased amount of Ach at synapse, so poisoning or overdose results in cholinergic symptoms like salivation, lacrimation, urination, emesis, increased bronchial secretions, reduction in blood pressure.So treatment Of choice is Atropine. Atropine -It is highly effective in counter-acting the muscarinic symptoms, but higher doses are required to antagonize the central effects. It does not reverse peripheral muscular paralysis which is a nicotinic action. All cases of anti-ChE (carbamate or organophosphate) poisoning must be promptly given atropine2 mg i.v. repeated every 10 min till dryness of mouth or other signs of atropinization appear (upto 200 mg has been administered in a day). Continued treatment with maintenance doses may be required for 1-2 weeks. Neostigmine and physostigmine worsens the signs and symptoms as these also act by inhibiting choline esterase. Physostigmine and flumazenil are respectively used for Atropine and benzodiazepines poisoning.",Pharmacology,AIIMS 2019,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""The patient's symptoms, such as increased salivation and bronchial secretions, suggest organophosphate or carbamate poisoning, which inhibits acetylcholinesterase. The low RBC esterase level confirms this. Atropine is the correct treatment, as it counteracts muscarinic effects of acetylcholine, alleviating symptoms.""
}",B,"The patient's symptoms, such as increased salivation and bronchial secretions, suggest organophosphate or carbamate poisoning, which inhibits acetylcholinesterase. The low RBC esterase level confirms this. Atropine is the correct treatment, as it counteracts muscarinic effects of acetylcholine, alleviating symptoms.",B,1.0,0.6990064248288923,0.8310570582010542,0.9074665237789554,0.27692307692307677,0.22373369726851425,1,0.5876373562000985
a570d3c3-865a-41b6-8e21-dccbf7feec4c,"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?",Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,0,single,"Ans: A. Aemether plus lumefantrineRef: <a href="" Combination Therapy (ACT) should be given to all the confirmed P. falciparum cases.</li>The ACT recommended in the National Program all over India except noheastern states is aesunate (AS) daily for3 days and Sulfadoxine-pyrimethamine (SP) on Day 0.Noheastern states presently recommended ACT in national drug policy is fixed dose combination of Aemether-lumefaritrine.Hence, the clear-cut answer of this question is Aemether plus lumefantrine.",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Artemether plus lumefantrine is the most appropriate choice for P. falciparum malaria due to its high efficacy and rapid action, especially in regions with chloroquine resistance, making it a preferred treatment option.""
}",A,"Artemether plus lumefantrine is the most appropriate choice for P. falciparum malaria due to its high efficacy and rapid action, especially in regions with chloroquine resistance, making it a preferred treatment option.",A,1.0,0.5694520035795712,0.7230339427765571,0.0021749591951229796,0.2717469446441408,0.21929642111801795,1,0.357140854262682
e7f023ea-2147-47d3-9f2a-61fb60a900be,Which of these drugs is an antidote for fibrinolytic therapy?,Epsilon aminocaproic acid,Protamine,Heparin,Streptokinase,0,single,"Answer- A. Epsilon aminocaproic acidEpsilon aminocaproic acid is an antidote for fibrinolytic therapy. Epsilon-aminocaproic qcid is a synthetic inhibitor of theplasmin-plasminogen system. It is the only potent antifibrinolylic agent, which is commercially available.""Aminocaproic acid is a lysine analog that competes for lysine binding sites on plasminogen and plasmin, blocking theinteraction of plasmin with fibrin.Fibrinolytic overdose - Epsilon Amino Caproic Acid (EACA)",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Epsilon aminocaproic acid is an antidote for fibrinolytic therapy as it inhibits plasminogen activators, thereby stopping the breakdown of fibrin clots. It reverses the effects of fibrinolytic agents like streptokinase.""
}",A,"Epsilon aminocaproic acid is an antidote for fibrinolytic therapy as it inhibits plasminogen activators, thereby stopping the breakdown of fibrin clots. It reverses the effects of fibrinolytic agents like streptokinase.",A,1.0,0.7457444276086147,0.9947389021171407,0.4293202609841175,0.7217675941080197,0.3944496919004113,1,0.6572041753436608
e881fcb0-a4f2-45ed-97cf-c53045f98e30,Absorption of which of the following drugs is increased after a fatty meal?,Amphotericin B,Griseofulvin,Ampicillin,Aspirin,1,single,"Ans: B. Griseofulvin (Ref: Goodman Gilman I2/e p1585; Katzung 13/e p632, 12/e p855,. KUT 7/e p790, 6/e p760)The oral administration of a 0.5 g dose of griseofulvin produces peak plasma concentrations of 1ug/mL in 4 hours.Improved drug absorption along with a fatty meal.Drug Absorption Reduced/Delayed by FoodDrug Absorption increased by foodAmpicillindegAspirindegAtenololdegAzithromycindegCaptoprildegCefaclorCephalexinCiprofloxacinDidanosineIndinavirdegIsoniazidaLoratidineNaficillinPenicillin G or VdegPhenobarbitaldegPhenytoindegRifampindegSucralfatedegTetracyclinedegDoxycyclinedegAtovaquonedegCarbamazepinedegChlohiazidedegCefuroximedegClofaziminedegDiazepamdegErythromycin GanciclovirdegHydrochlorothiazidedegItraconazoleaLithiumdegLovastatinMethylphenidateMetoprololdegNelfinavirNitrofurantoinPropranololdegPropoxypheneRitonavirdegSaquinavirdegSpironolactonedeg*Hydralazinedeg",Pharmacology,,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Griseofulvin's absorption is increased after a fatty meal due to its lipophilic nature, allowing better solubilization in bile salts and micellar formation, enhancing its absorption in the small intestine.""
}",B,"Griseofulvin's absorption is increased after a fatty meal due to its lipophilic nature, allowing better solubilization in bile salts and micellar formation, enhancing its absorption in the small intestine.",B,1.0,0.0382752879849431,0.6860136165050669,0.02966683962576299,0.29976209357652644,0.20435185279828402,1,0.25161393809811666
da27e783-4c0b-4621-bc3d-938a109d8425,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,Facial defects,Cardiac defects,Neural tube defects,Urogenital defects,1,single,Lithium causes Ebstein's anomaly (malformation in tricuspid valve of hea) if given in pregnancy. Other side effects of lithium includes: Leucocytosis I Tremors (most common adverse effect) Hypothyroidism Increase Urine (polyuria) Mothers (avoided in pregnancy).,Pharmacology,AIIMS 2018,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Lithium use during pregnancy is associated with an increased risk of cardiac malformations in the baby, particularly Ebstein's anomaly, a congenital heart defect. This is due to lithium's potential to affect cardiac development during embryogenesis.""
}",B,"Lithium use during pregnancy is associated with an increased risk of cardiac malformations in the baby, particularly Ebstein's anomaly, a congenital heart defect. This is due to lithium's potential to affect cardiac development during embryogenesis.",B,1.0,0.6136108014405838,0.680057419473717,0.35498538427502124,0.3319283456269758,0.25277641927678984,1,0.4466716740186175
2dd59aba-38c0-4aff-a000-1bcb640254ff,"Drug adveisement letter is a necessary component of each drug formulation and contains various information about the drug like drug dosing, frequency and half-life. Which of the following information need not be given in the drug adveisement letter?",Research papers and other aicles proving efficacy of the drug,Date of expiry of the drug,"Rare, but serious life threatening adverse-effects","Common, not so serious adverse-effects",1,single,"Ans: B. Date of expiry of the drug(Ref Goodman Gilman 12/e p1883; Manual of Experimental and Clinical Pharmacology/p 345).Date of drug expiry need not to be given in drug adveisement letter.Regulated according to The Federal Food, Drug, and Cosmetic Act.Amended (Food and Drug Administration Modernization Act of 1997).Permits use of print & television adveising for prescription drugs.Drug adveisements:Contain summary information relating to side effects, contraindications & effectiveness.Current adveising regulations:Specify that this information disclosure needs to include all risk information in a product's approved labeling or must direct consumers to healthcare professionals to obtain this information.Print adveisements:Include reprinting of risk-related sections of product's approved labeling (package inse).Television adveising:Not includes reprinting of risk-related.Note:Adveisements cannot be false or misleading or omit material facts.Must present fair balance between effectiveness & risk information.",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Research papers and articles are not typically included in drug advertisement letters. Instead, they are usually found in scientific journals or provided upon request. The letter focuses on key information like dosage, frequency, and side effects, making option A the correct choice.""
}",A,"Research papers and articles are not typically included in drug advertisement letters. Instead, they are usually found in scientific journals or provided upon request. The letter focuses on key information like dosage, frequency, and side effects, making option A the correct choice.",B,0.0,0.4347941284500773,0.497544955943472,0.05585652398226599,0.2564102564102564,0.1711819777449218,1,0.28315756850619866
58ffad4a-5613-4d26-88b2-a4bb2ce2b9e6,Which of the following drugs can be stopped abruptly without any withdrawal symptoms?,Esctilaopram,Fluoxetine,Fluvoxamine,Seraline,1,single,Answer- B. FluoxetineFluoxetine has the lowest incidence of discontinuation syndrome among several antidepressants including paroxetin and venlafaxine. The longer half life of fluoxetine will avoid any withdrawal symptoms because this medication effectively tapers itself from the patient's system over a few days.,Pharmacology,,validation,"{
    ""Correct answer"": ""B"",
    ""Reasoning"": ""Fluoxetine has a long half-life and active metabolite, allowing for abrupt cessation without significant withdrawal symptoms, unlike other SSRIs which can cause discontinuation syndrome.""
}",B,"Fluoxetine has a long half-life and active metabolite, allowing for abrupt cessation without significant withdrawal symptoms, unlike other SSRIs which can cause discontinuation syndrome.",B,1.0,0.7470005915689796,0.8234656245342271,0.5451236683541288,0.3563348416289592,0.3209218489696809,1,0.5585693150111951
3e4d2174-1e88-4652-9aed-78e71215ffe8,Vitamin D toxicity is treated with,Chloroquine,Hydroxycholoquine,Dexamethasone,Ketoconazole,2,single,"Ans. C. Dexamethasone* Dexamethasone is used in the treatment of hypercalcemia due to vitamin D toxicity. Glucocoicoid (Dexamethasone, prednisolone etc) therapy will decrease plasma calcium levels by blocking the action of vitamin D(1,25 D) which results in reduced intestinal calcium absorption and increased urinary excretion of calcium. * Other drugs like chloroquine and hydroxychloroquine are less effective in treating hypercalcemia due to vitamin D toxicity.",Pharmacology,,validation,"{
    ""Correct answer"": ""D"",
    ""Reasoning"": ""Vitamin D toxicity is treated with Ketoconazole, as it inhibits the conversion of 25-hydroxyvitamin D to its active form, 1,25-dihydroxyvitamin D, thus reducing vitamin D's toxic effects.""
}",D,"Vitamin D toxicity is treated with Ketoconazole, as it inhibits the conversion of 25-hydroxyvitamin D to its active form, 1,25-dihydroxyvitamin D, thus reducing vitamin D's toxic effects.",C,0.0,0.6266286103485951,0.7089554662945411,0.062358944195244764,0.6494845360824741,0.2735441813516299,1,0.464194347654497
6bce210a-7174-4c76-b1f0-9bc3f5c835fc,CYP50 inhibition is least by:,Pantoprazole,Rabeprazole,Lansoprazole,Omeprazole,1,single,"Ans: B. Rabeprazole(Ref: Goodman Gilman 12/e p1990; Katzung131e p1060, 12/e p1089; KDT 7/e p653).Rabeprazole:Exclusively metabolized by CYP2C19 and does not cause any inhibition of CYP450.Highest efficacy.Lansoprazole - Most potent.Rabeprazole & pantoprazole have no significant drug interactions.The FDA has issued a warning about a potentially impoant adverse interaction between clopidogrel and proton pump inhibitors.Proton pump inhibitors should be prescribed to patients taking clopidogrel only if they have an increased risk of gastrointestinal bleeding or require them for chronic gastro-esophageal reflux or peptic ulcer disease, in which case agents with minimal CYP2C19 inhibition (pantoprazole or rabeprazole) are preferred",Pharmacology,,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""Pantoprazole is known to have the least effect on CYP2C19 and CYP3A4 enzymes compared to other proton pump inhibitors. This makes it less likely to inhibit CYP450 enzymes, including the specific concern of CYP2C19 often implied in such questions, thus having the least inhibition among the options provided.""
}",A,"Pantoprazole is known to have the least effect on CYP2C19 and CYP3A4 enzymes compared to other proton pump inhibitors. This makes it less likely to inhibit CYP450 enzymes, including the specific concern of CYP2C19 often implied in such questions, thus having the least inhibition among the options provided.",B,0.0,0.5337705208495233,0.7514687941675132,0.1224267847857921,0.3461538461538461,0.18618468882883402,1,0.38800092695710175
3b150083-1a5e-49ef-bc36-41a06b677b32,Major aim of phase 1 clinical trials is:,Safety,Efficacy,Dose,Pharmacokinetics,2,single,"Phase 1 clinical trial : It is first phase in humans. It is conducted mainly on healthy volunteers. In drugs with serious adverse effects and where alternative treatment is not available, phase 1 can be conducted on patients also. Major aim is to know the maximum tolerable dose (MTD). The aim of phase 1 trials should be marked as MTD > Dose > Pharmacokinetics > Safety",Pharmacology,AIIMS 2018,validation,"{
    ""Correct answer"": ""A"",
    ""Reasoning"": ""The major aim of phase 1 clinical trials is to assess the safety of a new drug in humans. This phase involves a small number of volunteers and focuses on evaluating the drug's tolerance, pharmacokinetics, and potential side effects to ensure safety.""
}",A,"The major aim of phase 1 clinical trials is to assess the safety of a new drug in humans. This phase involves a small number of volunteers and focuses on evaluating the drug's tolerance, pharmacokinetics, and potential side effects to ensure safety.",C,0.0,0.8700097939800958,0.8836566913544166,0.6462476803269055,0.6461538461538461,0.3784525150472548,1,0.6849041053725038
